"source"	"reviewStatus"	"reviewNote"	"reviewer"	"reviewedAt"	"reviewPriority"	"genre"	"title"	"creator"	"license"	"referenceUrl"	"candidateAudioUrl"	"identifier"	"sourceReviewQueue"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"63"	"オペラ"	"BS052 Mother Superior and Her Fields of Migraine"	"Radio For The Daydreamers"	"CC-BY-NC-ND"	"https://archive.org/details/BS052"	"https://archive.org/download/BS052/10-No_One_Ever_Comes_Here_But_Me-Dod_Av_En_Spokelse_Versjon.mp3"	"BS052"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"60"	"オペラ"	"2009/05/01 Direkt Laiiw From Ze Hell Zass"	"Direkt Laiw From Ze Hell Zass"	"CC-BY-NC-ND"	"https://archive.org/details/20090501DirektLaiiwFromZeHellZass"	"https://archive.org/download/20090501DirektLaiiwFromZeHellZass/02DeuxiemePartieLeSoprano.mp3"	"20090501DirektLaiiwFromZeHellZass"	"genre-training/internet-archive-review-queue.tsv"
"wikimedia-commons"	""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"100"	"シティ・ポップ"	"File:LL-Q652 (ita)-XANA000-city pop.wav"	"Speaker: XANA000 Recorder: XANA000"	"CC0"	"https://commons.wikimedia.org/wiki/File:LL-Q652_(ita)-XANA000-city_pop.wav"	"https://upload.wikimedia.org/wikipedia/commons/6/61/LL-Q652_%28ita%29-XANA000-city_pop.wav"	"File:LL-Q652 (ita)-XANA000-city pop.wav"	"genre-training/wikimedia-commons-review-queue.tsv"
"wikimedia-commons"	""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"100"	"シティ・ポップ"	"File:RetroFuture Nasty (ISRC USUAN1200042).mp3"	"Kevin MacLeod"	"CC-BY"	"https://commons.wikimedia.org/wiki/File:RetroFuture_Nasty_(ISRC_USUAN1200042).mp3"	"https://upload.wikimedia.org/wikipedia/commons/3/39/RetroFuture_Nasty_%28ISRC_USUAN1200042%29.mp3"	"File:RetroFuture Nasty (ISRC USUAN1200042).mp3"	"genre-training/wikimedia-commons-review-queue.tsv"
"wikimedia-commons"	""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"100"	"シティ・ポップ"	"File:RetroFuture Dirty (ISRC USUAN1200041).mp3"	"Kevin MacLeod"	"CC-BY"	"https://commons.wikimedia.org/wiki/File:RetroFuture_Dirty_(ISRC_USUAN1200041).mp3"	"https://upload.wikimedia.org/wikipedia/commons/0/05/RetroFuture_Dirty_%28ISRC_USUAN1200041%29.mp3"	"File:RetroFuture Dirty (ISRC USUAN1200041).mp3"	"genre-training/wikimedia-commons-review-queue.tsv"
"wikimedia-commons"	""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"100"	"シティ・ポップ"	"File:RetroFuture Clean (ISRC USUAN1200040).mp3"	"Kevin MacLeod"	"CC-BY"	"https://commons.wikimedia.org/wiki/File:RetroFuture_Clean_(ISRC_USUAN1200040).mp3"	"https://upload.wikimedia.org/wikipedia/commons/0/00/RetroFuture_Clean_%28ISRC_USUAN1200040%29.mp3"	"File:RetroFuture Clean (ISRC USUAN1200040).mp3"	"genre-training/wikimedia-commons-review-queue.tsv"
"wikimedia-commons"	""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"100"	"シティ・ポップ"	"File:LL-Q652 (ita)-XANA000-synth pop.wav"	"Speaker: XANA000 Recorder: XANA000"	"CC0"	"https://commons.wikimedia.org/wiki/File:LL-Q652_(ita)-XANA000-synth_pop.wav"	"https://upload.wikimedia.org/wikipedia/commons/3/3e/LL-Q652_%28ita%29-XANA000-synth_pop.wav"	"File:LL-Q652 (ita)-XANA000-synth pop.wav"	"genre-training/wikimedia-commons-review-queue.tsv"
"wikimedia-commons"	""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"100"	"シティ・ポップ"	"File:Inter Album - Track 1.flac"	"Xedone"	"CC0"	"https://commons.wikimedia.org/wiki/File:Inter_Album_-_Track_1.flac"	"https://upload.wikimedia.org/wikipedia/commons/3/3e/Inter_Album_-_Track_1.flac"	"File:Inter Album - Track 1.flac"	"genre-training/wikimedia-commons-review-queue.tsv"
"wikimedia-commons"	""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"96"	"シティ・ポップ"	"File:ANSWER TIME TRAVELING TOUR 2nd Season.wav"	"槇原敬之 Official Channel"	"CC-BY"	"https://commons.wikimedia.org/wiki/File:ANSWER_TIME_TRAVELING_TOUR_2nd_Season.wav"	"https://upload.wikimedia.org/wikipedia/commons/c/c5/ANSWER_TIME_TRAVELING_TOUR_2nd_Season.wav"	"File:ANSWER TIME TRAVELING TOUR 2nd Season.wav"	"genre-training/wikimedia-commons-review-queue.tsv"
"wikimedia-commons"	""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"96"	"シティ・ポップ"	"File:Soft and Furious - 07 - The Merfolk I Should Turn To Be.mp3"	"Soft and Furious ( https://freemusicarchive.org/music/Soft_and_Furious )"	"CC0"	"https://commons.wikimedia.org/wiki/File:Soft_and_Furious_-_07_-_The_Merfolk_I_Should_Turn_To_Be.mp3"	"https://upload.wikimedia.org/wikipedia/commons/a/ad/Soft_and_Furious_-_07_-_The_Merfolk_I_Should_Turn_To_Be.mp3"	"File:Soft and Furious - 07 - The Merfolk I Should Turn To Be.mp3"	"genre-training/wikimedia-commons-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"81"	"シティ・ポップ"	"[dystopiaq030] Dust Collector - Narcolepsy"	"Dust Collector"	"CC-BY-NC-ND"	"https://archive.org/details/dystopiaq030"	"https://archive.org/download/dystopiaq030/19Wonderlost_wanderlost_wonderlustdayDreams.mp3"	"dystopiaq030"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"80"	"シティ・ポップ"	"Barzin - It's Come to This [BadPanda005]"	"Barzin"	"CC-BY-NC-ND"	"https://archive.org/details/badpanda005"	"https://archive.org/download/badpanda005/Barzin-ItsComeToThis.mp3"	"badpanda005"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"79"	"シティ・ポップ"	"TT 00040 BOTTLESMOKER HYPNAGOGIC REMIX"	"papaontacult"	"CC-BY-NC-SA"	"https://archive.org/details/TT00040BOTTLESMOKERHYPNAGOGICREMIX"	"https://archive.org/download/TT00040BOTTLESMOKERHYPNAGOGICREMIX/BoredomAndFreedomcerumentric.mp3"	"TT00040BOTTLESMOKERHYPNAGOGICREMIX"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"77"	"シティ・ポップ"	"Laszlo Hollyfield - Exodo [rith008]"	"Laszlo Hollyfield"	"CC-BY-NC-ND"	"https://archive.org/details/rith008"	"https://archive.org/download/rith008/08_Laszlo_Hollyfield_-_E-Motion.mp3"	"rith008"	"genre-training/internet-archive-review-queue.tsv"
"wikimedia-commons"	""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"100"	"ソウルミュージック"	"File:Clean Soul (ISRC USUAN1300033).mp3"	"Kevin MacLeod"	"CC-BY"	"https://commons.wikimedia.org/wiki/File:Clean_Soul_(ISRC_USUAN1300033).mp3"	"https://upload.wikimedia.org/wikipedia/commons/f/f7/Clean_Soul_%28ISRC_USUAN1300033%29.mp3"	"File:Clean Soul (ISRC USUAN1300033).mp3"	"genre-training/wikimedia-commons-review-queue.tsv"
"wikimedia-commons"	""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"100"	"ソウルミュージック"	"File:Stole Back My Soul - Airmen of Note - United States Air Force Band.mp3"	"Composition: Alan Baylock; Performance: United States Air Force Band, Airmen of Note; Recording: United States Air Force"	"Public Domain"	"https://commons.wikimedia.org/wiki/File:Stole_Back_My_Soul_-_Airmen_of_Note_-_United_States_Air_Force_Band.mp3"	"https://upload.wikimedia.org/wikipedia/commons/8/85/Stole_Back_My_Soul_-_Airmen_of_Note_-_United_States_Air_Force_Band.mp3"	"File:Stole Back My Soul - Airmen of Note - United States Air Force Band.mp3"	"genre-training/wikimedia-commons-review-queue.tsv"
"wikimedia-commons"	""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"100"	"ソウルミュージック"	"File:LL-Q1860 (eng)-Vealhurl-soul music.wav"	"Speaker: Vealhurl Recorder: Vealhurl"	"CC0"	"https://commons.wikimedia.org/wiki/File:LL-Q1860_(eng)-Vealhurl-soul_music.wav"	"https://upload.wikimedia.org/wikipedia/commons/8/8b/LL-Q1860_%28eng%29-Vealhurl-soul_music.wav"	"File:LL-Q1860 (eng)-Vealhurl-soul music.wav"	"genre-training/wikimedia-commons-review-queue.tsv"
"wikimedia-commons"	""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"100"	"ソウルミュージック"	"File:De Piano a Forte en corda pulsada.wav"	"Escola Superior de Música de Catalunya (ESMUC)"	"CC-BY-SA"	"https://commons.wikimedia.org/wiki/File:De_Piano_a_Forte_en_corda_pulsada.wav"	"https://upload.wikimedia.org/wikipedia/commons/9/94/De_Piano_a_Forte_en_corda_pulsada.wav"	"File:De Piano a Forte en corda pulsada.wav"	"genre-training/wikimedia-commons-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"86"	"ソウルミュージック"	"MNF023 Dsum & Morris - Arium FL"	"Dsum"	"CC-BY-SA"	"https://archive.org/details/MNF023_Dsum_Morris--Arium_FL"	"https://archive.org/download/MNF023_Dsum_Morris--Arium_FL/02_Dsum_Morris_-_Danza_Planetaria.mp3"	"MNF023_Dsum_Morris--Arium_FL"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"85"	"ソウルミュージック"	"[RAR026] Pedro Duarte - Pacific Blue EP"	"Pedro Duarte"	"CC-BY-NC-SA"	"https://archive.org/details/RAR026_Pedro_Duarte_Pacific_Blue_EP"	"https://archive.org/download/RAR026_Pedro_Duarte_Pacific_Blue_EP/01_Pacific_Blue.mp3"	"RAR026_Pedro_Duarte_Pacific_Blue_EP"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"85"	"ソウルミュージック"	"The Clones of Dr. Funkenstein (2016)"	"chēēZ π"	"CC-BY-NC-SA"	"https://archive.org/details/theclonesofdrfunkenstein_2016"	"https://archive.org/download/theclonesofdrfunkenstein_2016/05%20-%20Funky%20Drummer%20(Part%201).flac"	"theclonesofdrfunkenstein_2016"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"81"	"ソウルミュージック"	"[45rpm053-2012] Jared C. Balogh  - Drifting Soul"	"Jared C. Balogh"	"CC-BY-NC-ND"	"https://archive.org/details/45rpm053-2012JaredC.Balogh-DriftingSoul"	"https://archive.org/download/45rpm053-2012JaredC.Balogh-DriftingSoul/01Jared_C_Balog_-_Emotions_leading_To_Howhere.mp3"	"45rpm053-2012JaredC.Balogh-DriftingSoul"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"81"	"ソウルミュージック"	"[45E002-2011] Ollie Cram - Jazzstow"	"Ollie Cram"	"CC-BY-NC-ND"	"https://archive.org/details/45rpm049-e2011OllieCram-Jazzstow"	"https://archive.org/download/45rpm049-e2011OllieCram-Jazzstow/05spiritual_homeland.mp3"	"45rpm049-e2011OllieCram-Jazzstow"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"81"	"ソウルミュージック"	"[45E-015-2013] Trans Atlantic Rage/Balogh - I::::SOUL::::ATE VOLUME 4   "	"Trans Atlantic Rage/Balogh "	"CC-BY-NC-ND"	"https://archive.org/details/45e-015-2013TransAtlanticRagebalogh-IsoulateVolume4"	"https://archive.org/download/45e-015-2013TransAtlanticRagebalogh-IsoulateVolume4/02-Soul_Increments.mp3"	"45e-015-2013TransAtlanticRagebalogh-IsoulateVolume4"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"81"	"ソウルミュージック"	"An endless Tomorrow by Enuma Elish (Spanish Metal band)"	"Enuma Elish (Spanish Metal Band)"	"CC-BY-NC-ND"	"https://archive.org/details/AnEndlessTomorrowByEnumaElish"	"https://archive.org/download/AnEndlessTomorrowByEnumaElish/11-AnEndlessTomorrow.mp3"	"AnEndlessTomorrowByEnumaElish"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"81"	"ソウルミュージック"	"[SRmp3 133] Grr - Snuffcraft (Sociopath Recordings)"	"Grr"	"CC-BY-NC-ND"	"https://archive.org/details/SRmp3_133"	"https://archive.org/download/SRmp3_133/SRmp3_133.mp3"	"SRmp3_133"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"81"	"ソウルミュージック"	"FFM-016: Gregg Plummer - Red Veil"	"Gregg Plummer"	"CC-BY-NC-ND"	"https://archive.org/details/freefloatingmusic016"	"https://archive.org/download/freefloatingmusic016/04%20Seekers%20Of%20Truth.flac"	"freefloatingmusic016"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"80"	"ソウルミュージック"	"[LBN037] Feminine - ""Lorelei"""	""	"CC-BY-NC-ND"	"https://archive.org/details/LBN037Feminine-Lorelei"	"https://archive.org/download/LBN037Feminine-Lorelei/08.%20Coral%20Face.flac"	"LBN037Feminine-Lorelei"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"77"	"ソウルミュージック"	"[GTakt002] Modulares Klang Konzept - Fader EP"	"Modulares Klang Konzept"	"CC-BY-NC-ND"	"https://archive.org/details/gtakt002ModularesKlangKonzept-FaderEp"	"https://archive.org/download/gtakt002ModularesKlangKonzept-FaderEp/GTakt002_Modulares_Klang_Konzept_-_Crying_Soul_Fader_EP.mp3"	"gtakt002ModularesKlangKonzept-FaderEp"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"73"	"ソウルミュージック"	"Noisesurfer - A New World Sampled - Promo 2012 Alternate Version"	"Joachim Rontxelius"	"CC-BY"	"https://archive.org/details/Noisesurfer-ANewWorldSampled-Promo2012AlternateVersion"	"https://archive.org/download/Noisesurfer-ANewWorldSampled-Promo2012AlternateVersion/World10.mp3"	"Noisesurfer-ANewWorldSampled-Promo2012AlternateVersion"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"91"	"ディープ・ハウス"	"MNF022 DCM - Elevación"	"DCM"	"CC-BY-SA"	"https://archive.org/details/MNF022_DCM--Elevacion"	"https://archive.org/download/MNF022_DCM--Elevacion/03_DCM_-_Oblivion.mp3"	"MNF022_DCM--Elevacion"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"91"	"ディープ・ハウス"	"MNE007 Gartner - snk"	"Gartner"	"CC-BY-SA"	"https://archive.org/details/MNE007_Gartner--snk"	"https://archive.org/download/MNE007_Gartner--snk/12_Gartner_-_snk_12.mp3"	"MNE007_Gartner--snk"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"87"	"ディープ・ハウス"	"MNF023 Dsum & Morris - Arium FL"	"Dsum"	"CC-BY-SA"	"https://archive.org/details/MNF023_Dsum_Morris--Arium_FL"	"https://archive.org/download/MNF023_Dsum_Morris--Arium_FL/02_Dsum_Morris_-_Danza_Planetaria.mp3"	"MNF023_Dsum_Morris--Arium_FL"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"87"	"ディープ・ハウス"	"MNF027 Dsum - Intimate"	"Dsum"	"CC-BY-SA"	"https://archive.org/details/MNF027_Dsum--Intimate"	"https://archive.org/download/MNF027_Dsum--Intimate/03_Dsum_-_Frolic.mp3"	"MNF027_Dsum--Intimate"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"87"	"ディープ・ハウス"	"MNF018 Sir Leaks - Sonidos Bajotierra"	"Sir Leaks"	"CC-BY-SA"	"https://archive.org/details/MNF018_Sir_Leaks--Sonidos_Bajotierra"	"https://archive.org/download/MNF018_Sir_Leaks--Sonidos_Bajotierra/05_Sir_Leaks_-_Espacio_D_Tranquilo_Bobby_Remix.mp3"	"MNF018_Sir_Leaks--Sonidos_Bajotierra"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"87"	"ディープ・ハウス"	"MNF024 Bobby Marleni - Defected Jamz Vol 2"	"MALA"	"CC-BY-SA"	"https://archive.org/details/MNF024_Bobby_Marleni--Defected_Jamz_Vol_2"	"https://archive.org/download/MNF024_Bobby_Marleni--Defected_Jamz_Vol_2/06_Bobby_Marleni_-_Sexy_Sexy.mp3"	"MNF024_Bobby_Marleni--Defected_Jamz_Vol_2"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"87"	"ディープ・ハウス"	"MNS006 V.A - Colores Paralelos"	"Monofónicos"	"CC-BY-SA"	"https://archive.org/details/MNS006_VA--Colores_Paralelos"	"https://archive.org/download/MNS006_VA--Colores_Paralelos/08_Christopher_-_Historias_Cortas_(Bipolar_Mix).mp3"	"MNS006_VA--Colores_Paralelos"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"87"	"ディープ・ハウス"	"MNF021 Eviru Dibad - Altitud Sur"	"Dsum"	"CC-BY-SA"	"https://archive.org/details/MNF021_Eviru_Dibad--Altitud_Sur"	"https://archive.org/download/MNF021_Eviru_Dibad--Altitud_Sur/02_Eviru_Dibad_-_Latitudes_Intermedias.mp3"	"MNF021_Eviru_Dibad--Altitud_Sur"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"86"	"ディープ・ハウス"	"Follow Me"	"Pitchcraft"	"CC-BY-NC"	"https://archive.org/details/tou296"	"https://archive.org/download/tou296/01-Pitchcraft-Follow_Me.mp3"	"tou296"	"genre-training/internet-archive-review-queue.tsv"
"internet-archive"	""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	""	""	"85"	"ディープ・ハウス"	"[RAR031] In Vitro - Falso Self En Androides EP"	"In Vitro"	"CC-BY-NC-SA"	"https://archive.org/details/RAR031_In_Vitro_Falso_Self_En_Androides_EP"	"https://archive.org/download/RAR031_In_Vitro_Falso_Self_En_Androides_EP/03_Un_vaso_de_agua_para_dos_androides.mp3"	"RAR031_In_Vitro_Falso_Self_En_Androides_EP"	"genre-training/internet-archive-review-queue.tsv"
