"reviewStatus"	"reviewNote"	"genre"	"macroGenre"	"matchScore"	"reviewPriority"	"riskFlags"	"title"	"creator"	"license"	"licenseUrl"	"referenceUrl"	"candidateAudioUrl"	"identifier"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"オペラ"	"classical"	"51"	"38"	"spoken-or-intro"	"File:Inleiding Il Giardino Armonico - Giovanni Antonini (audio).mp3"	"deSingel"	"CC-BY"	"https://creativecommons.org/licenses/by/4.0"	"https://commons.wikimedia.org/wiki/File:Inleiding_Il_Giardino_Armonico_-_Giovanni_Antonini_(audio).mp3"	"https://upload.wikimedia.org/wikipedia/commons/6/69/Inleiding_Il_Giardino_Armonico_-_Giovanni_Antonini_%28audio%29.mp3"	"File:Inleiding Il Giardino Armonico - Giovanni Antonini (audio).mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"オペラ"	"classical"	"51"	"38"	"spoken-or-intro"	"File:Inleiding Academy of Ancient Music (audio) 1578.mp3"	"deSingel"	"CC-BY"	"https://creativecommons.org/licenses/by/4.0"	"https://commons.wikimedia.org/wiki/File:Inleiding_Academy_of_Ancient_Music_(audio)_1578.mp3"	"https://upload.wikimedia.org/wikipedia/commons/4/44/Inleiding_Academy_of_Ancient_Music_%28audio%29_1578.mp3"	"File:Inleiding Academy of Ancient Music (audio) 1578.mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"オペラ"	"classical"	"51"	"38"	"spoken-or-intro"	"File:Inleiding Le Concert Olympique olv. Jan Caeyers (audio) 1972.mp3"	"deSingel"	"CC-BY"	"https://creativecommons.org/licenses/by/4.0"	"https://commons.wikimedia.org/wiki/File:Inleiding_Le_Concert_Olympique_olv._Jan_Caeyers_(audio)_1972.mp3"	"https://upload.wikimedia.org/wikipedia/commons/2/28/Inleiding_Le_Concert_Olympique_olv._Jan_Caeyers_%28audio%29_1972.mp3"	"File:Inleiding Le Concert Olympique olv. Jan Caeyers (audio) 1972.mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"オペラ"	"classical"	"51"	"38"	"spoken-or-intro"	"File:Inleiding Bach Concentus olv. Ewald Demeyere (audio).mp3"	"deSingel"	"CC-BY"	"https://creativecommons.org/licenses/by/4.0"	"https://commons.wikimedia.org/wiki/File:Inleiding_Bach_Concentus_olv._Ewald_Demeyere_(audio).mp3"	"https://upload.wikimedia.org/wikipedia/commons/c/ca/Inleiding_Bach_Concentus_olv._Ewald_Demeyere_%28audio%29.mp3"	"File:Inleiding Bach Concentus olv. Ewald Demeyere (audio).mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"オペラ"	"classical"	"51"	"38"	"spoken-or-intro"	"File:Inleiding Concerto de' Cavalieri olv. Marcello Di Lisa (audio).mp3"	"deSingel"	"CC-BY"	"https://creativecommons.org/licenses/by/4.0"	"https://commons.wikimedia.org/wiki/File:Inleiding_Concerto_de%27_Cavalieri_olv._Marcello_Di_Lisa_(audio).mp3"	"https://upload.wikimedia.org/wikipedia/commons/0/03/Inleiding_Concerto_de%27_Cavalieri_olv._Marcello_Di_Lisa_%28audio%29.mp3"	"File:Inleiding Concerto de' Cavalieri olv. Marcello Di Lisa (audio).mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"オペラ"	"classical"	"51"	"38"	"spoken-or-intro"	"File:Inleiding Matthäus Passion (audio).mp3"	"deSingel"	"CC-BY"	"https://creativecommons.org/licenses/by/4.0"	"https://commons.wikimedia.org/wiki/File:Inleiding_Matth%C3%A4us_Passion_(audio).mp3"	"https://upload.wikimedia.org/wikipedia/commons/c/cf/Inleiding_Matth%C3%A4us_Passion_%28audio%29.mp3"	"File:Inleiding Matthäus Passion (audio).mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"オペラ"	"classical"	"51"	"38"	"spoken-or-intro"	"File:Inleiding Nederlandse Bachvereniging - Jos Van Veldhoven (audio).mp3"	"deSingel"	"CC-BY"	"https://creativecommons.org/licenses/by/4.0"	"https://commons.wikimedia.org/wiki/File:Inleiding_Nederlandse_Bachvereniging_-_Jos_Van_Veldhoven_(audio).mp3"	"https://upload.wikimedia.org/wikipedia/commons/e/e9/Inleiding_Nederlandse_Bachvereniging_-_Jos_Van_Veldhoven_%28audio%29.mp3"	"File:Inleiding Nederlandse Bachvereniging - Jos Van Veldhoven (audio).mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"オペラ"	"classical"	"51"	"38"	"spoken-or-intro"	"File:Inleiding Barokorkest B'Rock -RIAS Kammerchor - René Jacobs (audio).mp3"	"deSingel"	"CC-BY"	"https://creativecommons.org/licenses/by/4.0"	"https://commons.wikimedia.org/wiki/File:Inleiding_Barokorkest_B%27Rock_-RIAS_Kammerchor_-_Ren%C3%A9_Jacobs_(audio).mp3"	"https://upload.wikimedia.org/wikipedia/commons/d/d9/Inleiding_Barokorkest_B%27Rock_-RIAS_Kammerchor_-_Ren%C3%A9_Jacobs_%28audio%29.mp3"	"File:Inleiding Barokorkest B'Rock -RIAS Kammerchor - René Jacobs (audio).mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"オペラ"	"classical"	"51"	"38"	"spoken-or-intro"	"File:Inleiding Weihnachtsoratorium (audio) 1401.mp3"	"deSingel"	"CC-BY"	"https://creativecommons.org/licenses/by/4.0"	"https://commons.wikimedia.org/wiki/File:Inleiding_Weihnachtsoratorium_(audio)_1401.mp3"	"https://upload.wikimedia.org/wikipedia/commons/0/05/Inleiding_Weihnachtsoratorium_%28audio%29_1401.mp3"	"File:Inleiding Weihnachtsoratorium (audio) 1401.mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"オペラ"	"classical"	"51"	"38"	"spoken-or-intro"	"File:Inleiding La Petite Bande - HIMMELFAHRT (audio).mp3"	"deSingel"	"CC-BY"	"https://creativecommons.org/licenses/by/4.0"	"https://commons.wikimedia.org/wiki/File:Inleiding_La_Petite_Bande_-_HIMMELFAHRT_(audio).mp3"	"https://upload.wikimedia.org/wikipedia/commons/3/3f/Inleiding_La_Petite_Bande_-_HIMMELFAHRT_%28audio%29.mp3"	"File:Inleiding La Petite Bande - HIMMELFAHRT (audio).mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"オペラ"	"classical"	"51"	"38"	"spoken-or-intro"	"File:Inleiding The King's Consort Choir and Orchestra - Händel - Messiah (audio).mp3"	"deSingel"	"CC-BY"	"https://creativecommons.org/licenses/by/4.0"	"https://commons.wikimedia.org/wiki/File:Inleiding_The_King%27s_Consort_Choir_and_Orchestra_-_H%C3%A4ndel_-_Messiah_(audio).mp3"	"https://upload.wikimedia.org/wikipedia/commons/5/54/Inleiding_The_King%27s_Consort_Choir_and_Orchestra_-_H%C3%A4ndel_-_Messiah_%28audio%29.mp3"	"File:Inleiding The King's Consort Choir and Orchestra - Händel - Messiah (audio).mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"オペラ"	"classical"	"51"	"3"	"spoken-or-intro|derivative-or-non-song"	"File:Inleiding Akademie für Alte Musik Berlin & Collegium Vocale Gent (audio).mp3"	"deSingel"	"CC-BY"	"https://creativecommons.org/licenses/by/4.0"	"https://commons.wikimedia.org/wiki/File:Inleiding_Akademie_f%C3%BCr_Alte_Musik_Berlin_%26_Collegium_Vocale_Gent_(audio).mp3"	"https://upload.wikimedia.org/wikipedia/commons/0/03/Inleiding_Akademie_f%C3%BCr_Alte_Musik_Berlin_%26_Collegium_Vocale_Gent_%28audio%29.mp3"	"File:Inleiding Akademie für Alte Musik Berlin & Collegium Vocale Gent (audio).mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"オペラ"	"classical"	"51"	"3"	"spoken-or-intro|derivative-or-non-song"	"File:Inleiding Cappella Mediterranea (audio).mp3"	"deSingel"	"CC-BY"	"https://creativecommons.org/licenses/by/4.0"	"https://commons.wikimedia.org/wiki/File:Inleiding_Cappella_Mediterranea_(audio).mp3"	"https://upload.wikimedia.org/wikipedia/commons/4/47/Inleiding_Cappella_Mediterranea_%28audio%29.mp3"	"File:Inleiding Cappella Mediterranea (audio).mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"オペラ"	"classical"	"51"	"3"	"spoken-or-intro|derivative-or-non-song"	"File:Inleiding PRJCT Amsterdam olv. Josef Za´k (audio).mp3"	"deSingel"	"CC-BY"	"https://creativecommons.org/licenses/by/4.0"	"https://commons.wikimedia.org/wiki/File:Inleiding_PRJCT_Amsterdam_olv._Josef_Za%C2%B4k_(audio).mp3"	"https://upload.wikimedia.org/wikipedia/commons/2/25/Inleiding_PRJCT_Amsterdam_olv._Josef_Za%C2%B4k_%28audio%29.mp3"	"File:Inleiding PRJCT Amsterdam olv. Josef Za´k (audio).mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"オペラ"	"classical"	"51"	"3"	"spoken-or-intro|derivative-or-non-song"	"File:Inleiding Ricercar Consort olv. Philippe Pierlot - Monteverdi (audio).mp3"	"deSingel"	"CC-BY"	"https://creativecommons.org/licenses/by/4.0"	"https://commons.wikimedia.org/wiki/File:Inleiding_Ricercar_Consort_olv._Philippe_Pierlot_-_Monteverdi_(audio).mp3"	"https://upload.wikimedia.org/wikipedia/commons/6/6d/Inleiding_Ricercar_Consort_olv._Philippe_Pierlot_-_Monteverdi_%28audio%29.mp3"	"File:Inleiding Ricercar Consort olv. Philippe Pierlot - Monteverdi (audio).mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"オペラ"	"classical"	"51"	"3"	"spoken-or-intro|derivative-or-non-song"	"File:Inleiding Koor & Orkest Collegium Vocale Gent - Himmelfahrtsoratorium (audio).mp3"	"deSingel"	"CC-BY"	"https://creativecommons.org/licenses/by/4.0"	"https://commons.wikimedia.org/wiki/File:Inleiding_Koor_%26_Orkest_Collegium_Vocale_Gent_-_Himmelfahrtsoratorium_(audio).mp3"	"https://upload.wikimedia.org/wikipedia/commons/a/a8/Inleiding_Koor_%26_Orkest_Collegium_Vocale_Gent_-_Himmelfahrtsoratorium_%28audio%29.mp3"	"File:Inleiding Koor & Orkest Collegium Vocale Gent - Himmelfahrtsoratorium (audio).mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"86"	"100"	""	"File:LL-Q652 (ita)-XANA000-city pop.wav"	"Speaker: XANA000 Recorder: XANA000"	"CC0"	"http://creativecommons.org/publicdomain/zero/1.0/deed.en"	"https://commons.wikimedia.org/wiki/File:LL-Q652_(ita)-XANA000-city_pop.wav"	"https://upload.wikimedia.org/wikipedia/commons/6/61/LL-Q652_%28ita%29-XANA000-city_pop.wav"	"File:LL-Q652 (ita)-XANA000-city pop.wav"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"86"	"100"	""	"File:RetroFuture Nasty (ISRC USUAN1200042).mp3"	"Kevin MacLeod"	"CC-BY"	"https://creativecommons.org/licenses/by/3.0"	"https://commons.wikimedia.org/wiki/File:RetroFuture_Nasty_(ISRC_USUAN1200042).mp3"	"https://upload.wikimedia.org/wikipedia/commons/3/39/RetroFuture_Nasty_%28ISRC_USUAN1200042%29.mp3"	"File:RetroFuture Nasty (ISRC USUAN1200042).mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"86"	"100"	""	"File:RetroFuture Dirty (ISRC USUAN1200041).mp3"	"Kevin MacLeod"	"CC-BY"	"https://creativecommons.org/licenses/by/3.0"	"https://commons.wikimedia.org/wiki/File:RetroFuture_Dirty_(ISRC_USUAN1200041).mp3"	"https://upload.wikimedia.org/wikipedia/commons/0/05/RetroFuture_Dirty_%28ISRC_USUAN1200041%29.mp3"	"File:RetroFuture Dirty (ISRC USUAN1200041).mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"86"	"100"	""	"File:RetroFuture Clean (ISRC USUAN1200040).mp3"	"Kevin MacLeod"	"CC-BY"	"https://creativecommons.org/licenses/by/3.0"	"https://commons.wikimedia.org/wiki/File:RetroFuture_Clean_(ISRC_USUAN1200040).mp3"	"https://upload.wikimedia.org/wikipedia/commons/0/00/RetroFuture_Clean_%28ISRC_USUAN1200040%29.mp3"	"File:RetroFuture Clean (ISRC USUAN1200040).mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"86"	"100"	""	"File:LL-Q652 (ita)-XANA000-synth pop.wav"	"Speaker: XANA000 Recorder: XANA000"	"CC0"	"http://creativecommons.org/publicdomain/zero/1.0/deed.en"	"https://commons.wikimedia.org/wiki/File:LL-Q652_(ita)-XANA000-synth_pop.wav"	"https://upload.wikimedia.org/wikipedia/commons/3/3e/LL-Q652_%28ita%29-XANA000-synth_pop.wav"	"File:LL-Q652 (ita)-XANA000-synth pop.wav"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"86"	"100"	""	"File:Inter Album - Track 1.flac"	"Xedone"	"CC0"	"http://creativecommons.org/publicdomain/zero/1.0/deed.en"	"https://commons.wikimedia.org/wiki/File:Inter_Album_-_Track_1.flac"	"https://upload.wikimedia.org/wikipedia/commons/3/3e/Inter_Album_-_Track_1.flac"	"File:Inter Album - Track 1.flac"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"86"	"96"	""	"File:ANSWER TIME TRAVELING TOUR 2nd Season.wav"	"槇原敬之 Official Channel"	"CC-BY"	"https://creativecommons.org/licenses/by/3.0"	"https://commons.wikimedia.org/wiki/File:ANSWER_TIME_TRAVELING_TOUR_2nd_Season.wav"	"https://upload.wikimedia.org/wikipedia/commons/c/c5/ANSWER_TIME_TRAVELING_TOUR_2nd_Season.wav"	"File:ANSWER TIME TRAVELING TOUR 2nd Season.wav"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"86"	"96"	""	"File:Soft and Furious - 07 - The Merfolk I Should Turn To Be.mp3"	"Soft and Furious ( https://freemusicarchive.org/music/Soft_and_Furious )"	"CC0"	"http://creativecommons.org/publicdomain/zero/1.0/deed.en"	"https://commons.wikimedia.org/wiki/File:Soft_and_Furious_-_07_-_The_Merfolk_I_Should_Turn_To_Be.mp3"	"https://upload.wikimedia.org/wikipedia/commons/a/ad/Soft_and_Furious_-_07_-_The_Merfolk_I_Should_Turn_To_Be.mp3"	"File:Soft and Furious - 07 - The Merfolk I Should Turn To Be.mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"51"	"38"	"spoken-or-intro"	"File:Inleiding ChampdAction HRZSCHMRZ (audio).mp3"	"deSingel"	"CC-BY"	"https://creativecommons.org/licenses/by/4.0"	"https://commons.wikimedia.org/wiki/File:Inleiding_ChampdAction_HRZSCHMRZ_(audio).mp3"	"https://upload.wikimedia.org/wikipedia/commons/8/87/Inleiding_ChampdAction_HRZSCHMRZ_%28audio%29.mp3"	"File:Inleiding ChampdAction HRZSCHMRZ (audio).mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"51"	"26"	"spoken-or-intro"	"File:Shaving Mirror (ISRC USUAN1700029).mp3"	"Kevin MacLeod"	"CC-BY"	"https://creativecommons.org/licenses/by/3.0"	"https://commons.wikimedia.org/wiki/File:Shaving_Mirror_(ISRC_USUAN1700029).mp3"	"https://upload.wikimedia.org/wikipedia/commons/6/66/Shaving_Mirror_%28ISRC_USUAN1700029%29.mp3"	"File:Shaving Mirror (ISRC USUAN1700029).mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"ソウルミュージック"	"black_music"	"86"	"100"	""	"File:Clean Soul (ISRC USUAN1300033).mp3"	"Kevin MacLeod"	"CC-BY"	"https://creativecommons.org/licenses/by/3.0"	"https://commons.wikimedia.org/wiki/File:Clean_Soul_(ISRC_USUAN1300033).mp3"	"https://upload.wikimedia.org/wikipedia/commons/f/f7/Clean_Soul_%28ISRC_USUAN1300033%29.mp3"	"File:Clean Soul (ISRC USUAN1300033).mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"ソウルミュージック"	"black_music"	"86"	"100"	""	"File:Stole Back My Soul - Airmen of Note - United States Air Force Band.mp3"	"Composition: Alan Baylock; Performance: United States Air Force Band, Airmen of Note; Recording: United States Air Force"	"Public Domain"	""	"https://commons.wikimedia.org/wiki/File:Stole_Back_My_Soul_-_Airmen_of_Note_-_United_States_Air_Force_Band.mp3"	"https://upload.wikimedia.org/wikipedia/commons/8/85/Stole_Back_My_Soul_-_Airmen_of_Note_-_United_States_Air_Force_Band.mp3"	"File:Stole Back My Soul - Airmen of Note - United States Air Force Band.mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"ソウルミュージック"	"black_music"	"86"	"100"	""	"File:LL-Q1860 (eng)-Vealhurl-soul music.wav"	"Speaker: Vealhurl Recorder: Vealhurl"	"CC0"	"http://creativecommons.org/publicdomain/zero/1.0/deed.en"	"https://commons.wikimedia.org/wiki/File:LL-Q1860_(eng)-Vealhurl-soul_music.wav"	"https://upload.wikimedia.org/wikipedia/commons/8/8b/LL-Q1860_%28eng%29-Vealhurl-soul_music.wav"	"File:LL-Q1860 (eng)-Vealhurl-soul music.wav"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"ソウルミュージック"	"black_music"	"86"	"100"	""	"File:De Piano a Forte en corda pulsada.wav"	"Escola Superior de Música de Catalunya (ESMUC)"	"CC-BY-SA"	"https://creativecommons.org/licenses/by-sa/4.0"	"https://commons.wikimedia.org/wiki/File:De_Piano_a_Forte_en_corda_pulsada.wav"	"https://upload.wikimedia.org/wikipedia/commons/9/94/De_Piano_a_Forte_en_corda_pulsada.wav"	"File:De Piano a Forte en corda pulsada.wav"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"トラップ"	"black_music"	"86"	"100"	""	"File:What Is Love (ISRC USUAN1500067).mp3"	"Kevin MacLeod"	"CC-BY"	"https://creativecommons.org/licenses/by/3.0"	"https://commons.wikimedia.org/wiki/File:What_Is_Love_(ISRC_USUAN1500067).mp3"	"https://upload.wikimedia.org/wikipedia/commons/1/13/What_Is_Love_%28ISRC_USUAN1500067%29.mp3"	"File:What Is Love (ISRC USUAN1500067).mp3"
""	"Candidate only. Verify Commons page, license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"トラップ"	"black_music"	"86"	"100"	""	"File:Audionautix-com-ccby-trapbed.mp3"	"Created by Jason Shaw. Released under Creative Commons Attribution License 3.0. Required credit: ""music by audionautix.com"". A signed release form is available at http://audionautix.com"	"CC-BY"	"https://creativecommons.org/licenses/by/3.0"	"https://commons.wikimedia.org/wiki/File:Audionautix-com-ccby-trapbed.mp3"	"https://upload.wikimedia.org/wikipedia/commons/9/93/Audionautix-com-ccby-trapbed.mp3"	"File:Audionautix-com-ccby-trapbed.mp3"
