"reviewStatus"	"reviewPriority"	"genre"	"title"	"creator"	"license"	"referenceUrl"	"candidateAudioUrl"	"identifier"
""	"81"	"ソウルミュージック"	"FFM-016: Gregg Plummer - Red Veil"	"Gregg Plummer"	"CC-BY-NC-ND"	"https://archive.org/details/freefloatingmusic016"	"https://archive.org/download/freefloatingmusic016/04%20Seekers%20Of%20Truth.flac"	"freefloatingmusic016"
""	"80"	"ソウルミュージック"	"[LBN037] Feminine - ""Lorelei"""	""	"CC-BY-NC-ND"	"https://archive.org/details/LBN037Feminine-Lorelei"	"https://archive.org/download/LBN037Feminine-Lorelei/08.%20Coral%20Face.flac"	"LBN037Feminine-Lorelei"
""	"77"	"ソウルミュージック"	"[GTakt002] Modulares Klang Konzept - Fader EP"	"Modulares Klang Konzept"	"CC-BY-NC-ND"	"https://archive.org/details/gtakt002ModularesKlangKonzept-FaderEp"	"https://archive.org/download/gtakt002ModularesKlangKonzept-FaderEp/GTakt002_Modulares_Klang_Konzept_-_Crying_Soul_Fader_EP.mp3"	"gtakt002ModularesKlangKonzept-FaderEp"
""	"73"	"ソウルミュージック"	"Noisesurfer - A New World Sampled - Promo 2012 Alternate Version"	"Joachim Rontxelius"	"CC-BY"	"https://archive.org/details/Noisesurfer-ANewWorldSampled-Promo2012AlternateVersion"	"https://archive.org/download/Noisesurfer-ANewWorldSampled-Promo2012AlternateVersion/World10.mp3"	"Noisesurfer-ANewWorldSampled-Promo2012AlternateVersion"
""	"91"	"ディープ・ハウス"	"MNF022 DCM - Elevación"	"DCM"	"CC-BY-SA"	"https://archive.org/details/MNF022_DCM--Elevacion"	"https://archive.org/download/MNF022_DCM--Elevacion/03_DCM_-_Oblivion.mp3"	"MNF022_DCM--Elevacion"
""	"91"	"ディープ・ハウス"	"MNE007 Gartner - snk"	"Gartner"	"CC-BY-SA"	"https://archive.org/details/MNE007_Gartner--snk"	"https://archive.org/download/MNE007_Gartner--snk/12_Gartner_-_snk_12.mp3"	"MNE007_Gartner--snk"
""	"87"	"ディープ・ハウス"	"MNF023 Dsum & Morris - Arium FL"	"Dsum"	"CC-BY-SA"	"https://archive.org/details/MNF023_Dsum_Morris--Arium_FL"	"https://archive.org/download/MNF023_Dsum_Morris--Arium_FL/02_Dsum_Morris_-_Danza_Planetaria.mp3"	"MNF023_Dsum_Morris--Arium_FL"
""	"87"	"ディープ・ハウス"	"MNF027 Dsum - Intimate"	"Dsum"	"CC-BY-SA"	"https://archive.org/details/MNF027_Dsum--Intimate"	"https://archive.org/download/MNF027_Dsum--Intimate/03_Dsum_-_Frolic.mp3"	"MNF027_Dsum--Intimate"
""	"87"	"ディープ・ハウス"	"MNF018 Sir Leaks - Sonidos Bajotierra"	"Sir Leaks"	"CC-BY-SA"	"https://archive.org/details/MNF018_Sir_Leaks--Sonidos_Bajotierra"	"https://archive.org/download/MNF018_Sir_Leaks--Sonidos_Bajotierra/05_Sir_Leaks_-_Espacio_D_Tranquilo_Bobby_Remix.mp3"	"MNF018_Sir_Leaks--Sonidos_Bajotierra"
""	"87"	"ディープ・ハウス"	"MNF024 Bobby Marleni - Defected Jamz Vol 2"	"MALA"	"CC-BY-SA"	"https://archive.org/details/MNF024_Bobby_Marleni--Defected_Jamz_Vol_2"	"https://archive.org/download/MNF024_Bobby_Marleni--Defected_Jamz_Vol_2/06_Bobby_Marleni_-_Sexy_Sexy.mp3"	"MNF024_Bobby_Marleni--Defected_Jamz_Vol_2"
""	"87"	"ディープ・ハウス"	"MNS006 V.A - Colores Paralelos"	"Monofónicos"	"CC-BY-SA"	"https://archive.org/details/MNS006_VA--Colores_Paralelos"	"https://archive.org/download/MNS006_VA--Colores_Paralelos/08_Christopher_-_Historias_Cortas_(Bipolar_Mix).mp3"	"MNS006_VA--Colores_Paralelos"
""	"87"	"ディープ・ハウス"	"MNF021 Eviru Dibad - Altitud Sur"	"Dsum"	"CC-BY-SA"	"https://archive.org/details/MNF021_Eviru_Dibad--Altitud_Sur"	"https://archive.org/download/MNF021_Eviru_Dibad--Altitud_Sur/02_Eviru_Dibad_-_Latitudes_Intermedias.mp3"	"MNF021_Eviru_Dibad--Altitud_Sur"
""	"86"	"ディープ・ハウス"	"Follow Me"	"Pitchcraft"	"CC-BY-NC"	"https://archive.org/details/tou296"	"https://archive.org/download/tou296/01-Pitchcraft-Follow_Me.mp3"	"tou296"
""	"85"	"ディープ・ハウス"	"[RAR031] In Vitro - Falso Self En Androides EP"	"In Vitro"	"CC-BY-NC-SA"	"https://archive.org/details/RAR031_In_Vitro_Falso_Self_En_Androides_EP"	"https://archive.org/download/RAR031_In_Vitro_Falso_Self_En_Androides_EP/03_Un_vaso_de_agua_para_dos_androides.mp3"	"RAR031_In_Vitro_Falso_Self_En_Androides_EP"
""	"85"	"ディープ・ハウス"	"[RAR036] Jak - Echo Infection EP"	"Jak"	"CC-BY-NC-SA"	"https://archive.org/details/rar036Jak-EchoInfectionEp"	"https://archive.org/download/rar036Jak-EchoInfectionEp/02_Mode_Of_Life.mp3"	"rar036Jak-EchoInfectionEp"
""	"85"	"ディープ・ハウス"	"[RAR034] Dennis Shoker Warm Reception EP"	"Dennis Shoker"	"CC-BY-NC-SA"	"https://archive.org/details/Rar034_dennis_shoker_warmReception_ep"	"https://archive.org/download/Rar034_dennis_shoker_warmReception_ep/01_Striped.mp3"	"Rar034_dennis_shoker_warmReception_ep"
""	"100"	"トラップ"	"instrumental trap track "	"808 master"	"CC0"	"https://archive.org/details/natbombcrap"	"https://archive.org/download/natbombcrap/natbombcrap.mp3"	"natbombcrap"
""	"93"	"トラップ"	"10102012 90bpm 1 3"	"13 Mitred Abbots"	"CC-BY"	"https://archive.org/details/1010201290bpm13"	"https://archive.org/download/1010201290bpm13/10102012%2090bpm1_3.flac"	"1010201290bpm13"
""	"92"	"トラップ"	"TRAP BEAT FREE USE T RAP BASE RAP # DUB # REGGAE"	"(BASE RAP) Sebastián Lorca Díez"	"CC-BY"	"https://archive.org/details/TRAPBEATFREEUSETRAPBASERAPDUBREGGAE"	"https://archive.org/download/TRAPBEATFREEUSETRAPBASERAPDUBREGGAE/TrapBeatFreeUse22t-rap22BaseRapdubreggae-1db.mp3"	"TRAPBEATFREEUSETRAPBASERAPDUBREGGAE"
""	"91"	"トラップ"	"The Gxod Prequel "	"BenJamin Banger"	"CC-BY-SA"	"https://archive.org/details/BenjaminBanger"	"https://archive.org/download/BenjaminBanger/The%20Gxod%20Prequel/Tupac.mp3"	"BenjaminBanger"
""	"88"	"トラップ"	"THE EYE TRAP RAP TRAP INSTRUMENTAL BEAT"	"Sebastián Lorca Díez, Youtube (BASE RAP)"	"CC-BY"	"https://archive.org/details/THEEYETRAPRAPTRAPINSTRUMENTALBEAT"	"https://archive.org/download/THEEYETRAPRAPTRAPINSTRUMENTALBEAT/THE%20EYE%20TRAP%20-%20RAP-TRAP%20INSTRUMENTAL%20BEAT.mp3"	"THEEYETRAPRAPTRAPINSTRUMENTALBEAT"
""	"81"	"トラップ"	"Aenvelora - Starlit Outbreak Album Phonk"	"Aenvelora, Aenvelora "	"CC-BY-NC-ND"	"https://archive.org/details/aenvelora-cosmic-drift"	"https://archive.org/download/aenvelora-cosmic-drift/Aenvelora%20-%20PulseBreaker%20Ver.%202.flac"	"aenvelora-cosmic-drift"
""	"81"	"トラップ"	"Aenvelora - Generation Reset Album"	"Aenvelora, Aenvelora "	"CC-BY-NC-ND"	"https://archive.org/details/aenvelora-generation-reset"	"https://archive.org/download/aenvelora-generation-reset/Aenvelora%20-%20Generation%20Reset.flac"	"aenvelora-generation-reset"
""	"77"	"トラップ"	"Dalot - Levelling [pan088]"	"Maria Papadomanolaki"	"CC-BY-NC-ND"	"https://archive.org/details/pan088"	"https://archive.org/download/pan088/pan088-dalot-level_2.mp3"	"pan088"
""	"76"	"トラップ"	"Infra Red Army - Black Body EP [ns15]"	"Infra Red Army"	"CC-BY-NC-ND"	"https://archive.org/details/ns15"	"https://archive.org/download/ns15/03-ira-optimystique.mp3"	"ns15"
""	"70"	"トラップ"	"Aenvelora - Cyber Drift Phonk"	"Aenvelora, Aenvelora "	"CC-BY-NC-ND"	"https://archive.org/details/aenvelora-cyber-drift"	"https://archive.org/download/aenvelora-cyber-drift/Aenvelora%20-%20Midnight%20Drift.flac"	"aenvelora-cyber-drift"
""	"63"	"トラップ"	"Open Metalcast Instrumetalcast #6: Tragedy of Slow and Low"	"Craig Maloney"	"CC-BY-NC-ND"	"https://archive.org/details/OpenMetalcastInstrumetalcast6TragedyOfSlowAndLow"	"https://archive.org/download/OpenMetalcastInstrumetalcast6TragedyOfSlowAndLow/open_metalcast_instrumetalcast_006.mp3"	"OpenMetalcastInstrumetalcast6TragedyOfSlowAndLow"
""	"84"	"ハードコア"	"RETOUR A L ANORMAL par LA 6 EME REPUBLIQUE "	"La 6Eme REpublique"	"CC-BY-NC-SA"	"https://archive.org/details/LA_SIXIEME_REPUBLIQUE_RETOUR_A_L_ANORMAL"	"https://archive.org/download/LA_SIXIEME_REPUBLIQUE_RETOUR_A_L_ANORMAL/04.ATTENTION_A_LA_MARCHE_LA_6EME_REPUBLIQUE_RETOUR_A_L_ANORMAL.flac"	"LA_SIXIEME_REPUBLIQUE_RETOUR_A_L_ANORMAL"
""	"84"	"ハードコア"	"Junk DNA III : A Tribute to David Cronenberg"	"Ed End"	"CC-BY-NC-SA"	"https://archive.org/details/Ed_End_Junk_DNA_III"	"https://archive.org/download/Ed_End_Junk_DNA_III/02.Fathom_Exercise_Ed_End_Junk_DNA_III%20.mp3"	"Ed_End_Junk_DNA_III"
""	"81"	"ハードコア"	"COREBACKRECORDS64"	"COREBACKRECORDS"	"CC-BY-NC-ND"	"https://archive.org/details/COREBACKRECORDS64"	"https://archive.org/download/COREBACKRECORDS64/04_MANSHA_Aku_Soku_Zan.mp3"	"COREBACKRECORDS64"
""	"81"	"ハードコア"	"Nonsense - Burning Inside"	"Nonsense"	"CC-BY-NC-ND"	"https://archive.org/details/NONSENSE_-_Burning_Inside"	"https://archive.org/download/NONSENSE_-_Burning_Inside/06_Nonsense_-_Our_Showdown.mp3"	"NONSENSE_-_Burning_Inside"
""	"81"	"ハードコア"	"[FSC004] Very Expensive Porno Movie - Fist Fuck Fever"	"Yes No Wave Music"	"CC-BY-NC-ND"	"https://archive.org/details/FSC004"	"https://archive.org/download/FSC004/13__Fist_Fuck_Fever.mp3"	"FSC004"
""	"81"	"ハードコア"	"COREBACKRECORDS72"	"COREBACKRECORDS"	"CC-BY-NC-SA"	"https://archive.org/details/COREBACKRECORDS72"	"https://archive.org/download/COREBACKRECORDS72/ThirdI_kolaboracija_Bolest_Evropa_01_Wired.mp3"	"COREBACKRECORDS72"
""	"80"	"ハードコア"	"COREBACKRECORDS53"	"COREBACKRECORDS"	"CC-BY-NC-ND"	"https://archive.org/details/COREBACKRECORDS53"	"https://archive.org/download/COREBACKRECORDS53/02_LET_SHADOWS_FEED_MY_DARK_Ciclotimic.mp3"	"COREBACKRECORDS53"
""	"80"	"ハードコア"	"COREBACKRECORDS50_Man-Sha_and_Kenji_Siratori"	"COREBACKRECORDS"	"CC-BY-NC-ND"	"https://archive.org/details/COREBACKRECORDS50_Man-Sha_and_Kenji_Siratori"	"https://archive.org/download/COREBACKRECORDS50_Man-Sha_and_Kenji_Siratori/05_MANSHA_KENJI_SIRATORI_Insane_Asylum.mp3"	"COREBACKRECORDS50_Man-Sha_and_Kenji_Siratori"
""	"80"	"ハードコア"	"COREBACKRECORDSFREETRACK01"	"COREBACKRECORDSFREETRACK01"	"CC-BY-NC-ND"	"https://archive.org/details/COREBACKRECORDSFRETRACK01"	"https://archive.org/download/COREBACKRECORDSFRETRACK01/FANFARE_HOOD_BRACK_AGE_lune_est_soleil_assos.mp3"	"COREBACKRECORDSFRETRACK01"
""	"80"	"ハードコア"	"COREBACKRECORDS14"	"COREBACKRECORDS014"	"CC-BY-NC-ND"	"https://archive.org/details/COREBACKRECORDS014"	"https://archive.org/download/COREBACKRECORDS014/02ShellDivingGraceHome.mp3"	"COREBACKRECORDS014"
""	"80"	"ハードコア"	"COREBACKRECORDSFREETRACK02"	"COREBACKRECORDS"	"CC-BY-NC-ND"	"https://archive.org/details/COREBACKRECORDSFREETRACK02"	"https://archive.org/download/COREBACKRECORDSFREETRACK02/KAG_RAZOR_lune_est_soleil_assos_vbr.mp3"	"COREBACKRECORDSFREETRACK02"
""	"80"	"ハードコア"	"COREBACKRECORDS59"	"COREBACKRECORDS"	"CC-BY-NC-ND"	"https://archive.org/details/COREBACKRECORDS059"	"https://archive.org/download/COREBACKRECORDS059/BUBEN_03_Senakos_Hay_gathering_time.mp3"	"COREBACKRECORDS059"
